	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
3	57616	City of Lake Forest, IL	USA	Lake Forest, IL		2016.0	2007-12-31 00:00:00	A metropolitan area	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	402364.0			This is our first year of calculation		2010.0	19375.0					8.8	45.0	205.0	(42.258634, -87.840625)	(37.09024, -95.712891)	2007.0			D
8	36037	Santiago de Cali	Colombia	Santiago de Cali		2016.0	2010-12-31 00:00:00	Combination of administrative divisions	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; CH4; N2O	4174608.0					2015.0	2369829.0	4540.0		2012.0	DAPM	24.7	566.0	995.0	(3.451647, -76.531985)	(4.570868, -74.297333)	2010.0			D
11	49386	City of Hiroshima	Japan	Hiroshima		2016.0	2014-03-31 00:00:00	Administrative boundary of a local government	Other	環境省のマニュアル	CO2; PFCs; CH4; SF6; N2O; HFCs	8675437.0					2015.0	1191030.0	4874634000000.0	JPY     Japanese yen	2012.0	市民経済計算	16.6	907.0		(34.385203, 132.455293)	(36.204824, 138.252924)	2014.0			D
12	54408	Aarhus Kommune	Denmark	Aarhus Kommune		2016.0	2016-01-01 00:00:00	Administrative boundary of a local government	Other	CO2-beregneren (National guideline for municipalities)	CO2	1900.0					2016.0	320000.0								(56.168393, 10.137373)	(56.26392, 9.501785)	2016.0			D
13	58609	City of Ærøskøbing	Denmark	City of Ærøskøbing		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Other		CO2	225.0			Decreased	More renewable energi.	2015.0	6200.0					10.0	88.0	10.0	(54.891456, 10.404684)	(56.26392, 9.501785)	2015.0			D
14	50220	Métropole Nice Côte d'Azur	France	Nice Côte d'Azur		2016.0	2010-12-31 00:00:00	A metropolitan area	Other	Bilan Carbone	CO2; PFCs; CH4; SF6; N2O; HFCs	3352154.0					2015.0	550000.0						1400.0	18.0	(43.710173, 7.261953)	(46.227638, 2.213749)	2010.0			D
15	59595	City of Brisbane, CA	USA	Brisbane, CA		2016.0	2016-05-01 00:00:00	0	International Emissions Analysis Protocol (ICLEI)		CO2; CH4; N2O	148025.0			Decreased	There was a 10% reduction between 2005 and 2010	2015.0	4603.0						7.5		(37.6808, -122.4)	(37.09024, -95.712891)	2016.0			D
16	54443	Landeshauptstadt Magdeburg	Germany	Landeshauptstadt Magdeburg		2016.0	2012-12-31 00:00:00	A metropolitan area	Other	Software ECORegion smart from the Climate Alliance	CO2	1400000.0					2015.0	238000.0					9.7	201.8	56.0	(52.08889, 11.586164)	(51.165691, 10.451526)	2012.0			D
18	58310	City of Roanoke	USA	Roanoke		2016.0	2015-01-01 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	ICLEI Clean Air and Climate Protection Software	CO2; CH4; N2O	1971679.0			Decreased	The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.	2013.0	98465.0	13900000000.0	USD     US Dollar	2014.0	www.roanokeva.gov	14.0	111.0	400.0	(37.271, -79.9414)	(37.09024, -95.712891)	2015.0			D
19	44132	Bornova Municipality	Turkey	Bornova 		2016.0	2011-12-31 00:00:00	0	Other			758627.0			This is our first year of calculation		2012.0	416007.0								(35.2141598, 33.2947541)	(38.963745, 35.243322)	2011.0			D
24	31165	Stadt Heidelberg	Germany	Stadt Heidelberg	C40	2016.0	2011-12-31 00:00:00	Administrative boundary of a local government	Other	Institut für Energie- und Umweltforschung Heidelberg GmbH	CO2	879900.0			Decreased	Emissions decreased from 1987 until 2009. Emissions increased from 2009 until 2011	2014.0	144948.0	7635000000.0	EUR     Euro	2011.0		13.2	109.0	114.0	(49.398752, 8.672434)	(51.165691, 10.451526)	2011.0			D
27	42123	City of Goiânia	Brazil	Goiânia		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	Other	"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results. The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories. Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC). The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 – other). Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source."		2016320.0					2010.0	2173141.0	30131330.0	BRL     Brazilian Real	2010.0	IBGE - Brazilian Institute of Geography and Statistical	23.2	739.0	749.0	(-16.6868912, -49.2647943)	(-14.235004, -51.92528)	2010.0			D
29	36274	Comune di Bologna	Italy	Bologna		2016.0	2009-04-01 00:00:00	Administrative boundary of a local government	Other	Sustainable Energy Action Plan Guide Line	CO2	2270524.7			Decreased	Main cause is the economic crisis, secondary are actued mitigation actions	2014.0	386181.0	37033.0		2010.0	Bologna Chamber of Commerce	15.0	140.0	29.0	(44.4856087, 11.3547975)	(41.87194, 12.56738)	2009.0			D
32	35880	Municipality of Porto Alegre	Brazil	Porto Alegre		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	2829128.0					2010.0	1409351.0	13798686254.0	BRL     Brazilian Real	2010.0	Instituto Brasileiro de Geografia e Estatística (IBGE)	19.5	469684.0	10.0	(-3.672722, -45.3831)	(-14.235004, -51.92528)	2013.0			D
36	35872	Municipality of Recife	Brazil	Recife		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	1705245.0	1333830.0	371415.0	Decreased	The reason why the emissions from Recife has decreased was the change on methodology to calculate it. According to that, biofuels aren't considered carbon emitter anymore.	2016.0	1625583.0	10837028.0		2011.0	IBGE	26.0	218.0	4.0	(-8.057838, -34.882897)	(-14.235004, -51.92528)	2015.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	B
39	60602	Town of Ajax, ON	Canada	Ajax, ON		2016.0	2008-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	PCP Protocol method	CO2	538836.0	6354.0		Increased	Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.	2011.0	109600.0		CAD     Canadian Dollar			7.8	67.1	90.0	(43.850855, -79.020373)	(56.130366, -106.346771)	2008.0			C
44	35868	Free and Hanseatic City of Hamburg	Germany	Hamburg		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Other	"The emissions figures in fields C1.4 and C1.6 solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area. Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions."	CO2	17755.0			Decreased	The most important factor responsible for the lower emissions is – despite a generally strong economic growth – a strong decline in the consumption of natural gas and petroleum products in the industry sector. However, a few industrial large-scale consumers in the field of petroleum and metal industry, whose production usually fluctuates, are responsible for a significant percentage of the consumption.	2014.0	1762791.0	102500000000.0	EUR     Euro	2014.0	Statistikamt Nord	8.8	755.0	6.0	(53.5510846, 9.9936818)	(51.165691, 10.451526)	2013.0			D
51	59669	City of North Vancouver	Canada	North Vancouver		2017.0	2015-01-03 03:15:00	Administrative boundary of a local government	Other: ICLEI Partners for Climate Protection	Emissions data comes from multiple sources and the City relies on other agencies, such as privately owned utility companies to provide consumption data. As a result, the City cannot comment on the accuracy of the data.	CO2; CH4	187055.0	182896.0	4159.0	Other: 2015 data reported as 2016 data not available	Comparisons are not possible at this time, as the next year's data (2016) are not yet available.  We are thus still reporting 2015 data as before (note that our emissions data submitted April 2016 - for the year 2010 - were updated for the Compact of Mayors module submitted in December 2016 - for the year 2015).  However, due to limitations associated with the data, year to year comparisons must be made with caution. In general, emissions over the past few years appear to be staying the same or potentially decreasing slightly despite population increases.  This is likely due to more efficient building construction, reduction in solid waste tonnages, increased recycling and organics diversion, and increased fuel efficiency standards.	2016.0	52898.0					11.0	11.8	90.0	(49.32699, -123.07328)	(56.130366, -106.346771)	2015.0	1.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	A
52	54088	City of Peterborough	Canada	Peterborough		2016.0	2011-12-31 00:00:00	A metropolitan area	International Emissions Analysis Protocol (ICLEI)		CO2; CH4	283061.0					2011.0	78698.0					12.1	63.8	195.0	(44.309058, -78.319747)	(56.130366, -106.346771)	2011.0			D
54	31009	City of Copenhagen	Denmark	Copenhagen	C40	2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	Other	The methodology used provides an inventory of greenhouse gases at the municipality level, divided into sectors. The sectors are similar to those used for the official Danish emission inventory (IPCC sectors), and include; collective power and heating, Indivitual heating, Mobile sources, Tranportation and machinery, Industrial processes, Solvents, Agriculture, Land use, and waste depositing and wastewater. Simplified generalizations of the equations used for emission calculations are used. These are based on the assumption that emissions of a given activity can be estimated using data descriptive for the size of the activity multiplied by an emission factor pr unit or activity. That is, the inventory is primarily based on scope-2 data on heat and power consumption and scope-1 data on road traffic. The method includes CO2-, CH4- and N2O-emission in the inventory.  As for the national inventories the calculation is built into several levels (Tiers) with increased requirements for municipalities regarding data quality. Each municipality may use different tiers for different sectors depending on the data available. Tier 1 is mainly based on the Danish national greenhouse gas inventory data using appropriate distribution keys, in most cases the municipality's share of total population, for a given activity into municipality level. Tier 2 is more detailed and includes emission factors used in the Danish national greenhouse gas inventories, while municipalities use their own activity data. At Tier 3, which is the most detailed level; municipalities use municipality specific emission factors and activity data.	CO2; CH4; N2O	1450358.0			Decreased	The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.	2015.0	591481.0	308279000000.0	DKK     Danish Krone	2014.0	Danmarks Statistik, Statistics Denmark	8.0	86.0	9.0	(55.6760968, 12.5683371)	(56.26392, 9.501785)	2015.0			D
