	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
117	New York City	10.0	13.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998		1558520000000.0	(40.7127837, -74.0059413)	New York City	8537673.0	2016.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor	CO2; CH4; SF6; N2O		Decreased	784.0		766200000000.0	The most significant driver was a milder winter in 2015 versus 2014.	2017.0	30436445.85265645	32583841.27170205	34731236.69074765	38962264.0	CDP	tCO2-eq	2015.0	14343743.0	44780188.85265645	46927584.27170205	49074979.69074765	53306007.0		2015.0		0.0356646952	USA												North America	1.0
131	Nice	18.0		A metropolitan area			0.032012112	0.0086287785			(43.710173, 7.261953)	Métropole Nice Côte d'Azur	550000.0	2015.0	D	Other	0.49	770000000.0				CO2; CH4; N2O; HFCs; PFCs; SF6			1400.0	Bilan Carbone	1566000000.0		2016.0					CDP	tCO2-eq	2010.0		3036229.77908	3127750.29509	3219270.8111	3352154.0				0.0205145598	France	2004.0											Europe	
297	Ningbo				422.8				1.26332700063							Other			30621613.0				46353.97										6563188.42724	PKU	tCO2	2010.0						5195162.0				China		Ningbo										East Asia	
143	North Vancouver	90.0	11.0	Administrative boundary of a local government		Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	0.1017275144	0.046860437000000005			(49.32699, -123.07328)	City of North Vancouver	52898.0	2016.0	A	Other: ICLEI Partners for Climate Protection	0.51	77960000000.0				CO2; CH4		Other: 2015 data reported as 2016 data not available	11.8	Emissions data comes from multiple sources and the City relies on other agencies, such as privately owned utility companies to provide consumption data. As a result, the City cannot comment on the accuracy of the data.	151500000000.0	Comparisons are not possible at this time, as the next year's data (2016) are not yet available.  We are thus still reporting 2015 data as before (note that our emissions data submitted April 2016 - for the year 2010 - were updated for the Compact of Mayors module submitted in December 2016 - for the year 2015).  However, due to limitations associated with the data, year to year comparisons must be made with caution. In general, emissions over the past few years appear to be staying the same or potentially decreasing slightly despite population increases.  This is likely due to more efficient building construction, reduction in solid waste tonnages, increased recycling and organics diversion, and increased fuel efficiency standards.	2017.0	74041.38865645199	93765.16677826199	113488.94490007199	182896.0	CDP	tCO2-eq	2015.0	4159.0	78200.38865645199	97924.16677826199	117647.94490007199	187055.0				0.0734936045	Canada												North America	1.0
125	Oakland	13.0	15.1	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0367294791	0.017698981699999998		24080000000000.0	(37.8044, -122.2708)	City of Oakland	419000.0	2015.0	A	Other: ICLEI Community Protocol	0.06	42870000000.0		USD     US Dollar	US Bureau of Economic Analysis San Francisco-Oakland-Hayward Metropolitan area	CO2; CH4; N2O		Decreased	144.0	Energy data is high confidence, Transportation data is partially simulated (medium) partially fuel consumption (high), and materials use is medium-high (waste composition data is thorough but not collected frequently enough)	766200000000.0	In comparison to the 2015 report, emissions have decreased in both Scope 1 and Scope 2 emissions.	2017.0	537995.7959136	643382.6713046001	748769.5466955999	956414.0	CDP	tCO2-eq	2015.0	789413.0	1327408.7959136001	1432795.6713045996	1538182.5466956	1745827.0		2013.0		0.0356646952	USA												North America	1.0
49	Okayama	55.0	16.1	Administrative boundary of a local government			0.0028872234	0.0025182088		2066421.0	(34.655146, 133.919502)	City of Okayama	705917.0	2015.0	A	Other	0.0	0.0		JPY     Japanese yen	岡山県統計分析課	CO2; CH4; N2O; HFCs; PFCs; SF6			790.0		1.0		2016.0	56932.0777359816	60578.989247416386	64225.9007588512	114000.0	CDP	tCO2-eq	2013.0	6802000.0	6858932.077735983	6862578.989247417	6866225.900758851	6916000.0		2015.0		0.0028872234	Japan												East Asia	1.0
203	Osaka															Community																	50040000.0	carbonn	tCO2-eq	2009.0								State / Region		Japan			Osaka Prefecture				34.69	135.52	468438010171.8621	8864228.0	2012.0	East Asia	
42	Oslo	94.0	5.7	Administrative boundary of a local government			0.1354560779	0.017342714199999998		458449000000.0	(59.9138688, 10.7522454)	City of Oslo	658390.0	2016.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.95	108800000000.0		NOK     Norwegian Krone	Statistics Norway	CO2; CH4; N2O		Increased	454.0	Oslo gets most of the GHG-data from Statistics Norway and has further developed it to make it compliant with the GPC-protocol. The GPC- reporting was approved september 2015. Statistics Norway did a revision of the GHG-data  in february 2016, but this last revision has not been updated in the GPC-reporting.	114400000000.0	We havn`t used the full GPC-methodology for more than one year so we can`t tell if the emissions have increased or decreased. But due to the numbers from Statistics Norway, we can conclude that there has been a slight increase. The main reason is growth in emissions from Off road-transportation. Emissions from stationary energy use in residential, commercial and institutional buildings have decreased.	2016.0	668123.928426976	721417.1897835559	774710.451140136	1094422.0	CDP	tCO2-eq	2013.0	246000.0	914123.928426976	967417.1897835559	1020710.451140136	1340422.0		2013.0		0.0231244872	Norway												Europe	1.0
20	Palmas			A metropolitan area			0.0204194776	0.0151203426		899887.0	(-10.249091, -48.324286)	Prefeitura de Palmas	272726.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.69	11700000000.0		BRL     Brazilian Real		CO2; CH4; N2O; HFCs		This is our first year of calculation		O diagnóstico qualitativo das informações complementa a avaliação quantitativa.	17030000000.0		2016.0	460926.504119036	467258.9592765317	473591.4144340273	589055.31	CDP	tCO2-eq	2013.0	36336.28	497262.78411903593	503595.23927653156	509927.6944340272	625391.59		2016.0		0.0167788505	Brazil												Latin America & Caribbean	1.0000000000000002
182	Palo Alto	7.0	15.0	Administrative boundary of a local government		CDP2016 TOT likely wrong because one scope is missing.	0.0367294791	0.017698981699999998			(37.4419, -122.143)	City of Palo Alto	66955.0	2015.0	E	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	67.0	TCR/LGOP	766200000000.0	Natural gas consumption was lower for residential and commercial customers. Modeled transportation emissions flat (no change in model inputs). Waste related emissions down.	2016.0	85768.969320752	102609.490184247	119450.011047742	152631.0	CDP	tCO2-eq	2015.0		85768.969320752	102609.490184247	119450.011047742	152631.0				0.0356646952	USA												North America	
36	Paris	26.0	13.6	Administrative boundary of a local government			0.032012112	0.0086287785		153000000000.0	(48.856614, 2.3522219)	City of Paris	2265886.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.49	770000000.0		EUR     Euro	INSEE	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Decreased	105.0		1566000000.0	Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...	2016.0	2057699.6922844816	2434745.248538727	2811790.804792972	3359242.0	CDP	tCO2-eq	2014.0	1836421.0	3894120.692284482	4271166.248538727	4648211.804792972	5195663.0		2013.0		0.0205145598	France	2004.0											Europe	1.0
237	Pasig															Community - GPC																	659168.0	carbonn	tCO2-eq	2010.0								Municipality		Philippines			City Government of Pasig				14.5763768	121.0851097	2242046029.3710003	772695.0	2016.0	Southeast Asia	
144	Peterborough, ON	195.0	12.1	A metropolitan area			0.1017275144	0.046860437000000005			(44.309058, -78.319747)	City of Peterborough	78698.0	2011.0	D	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0				CO2; CH4			63.8		151500000000.0		2016.0					CDP	tCO2-eq	2011.0		121114.608765652	150458.28698846194	179801.96521127198	283061.0				0.0734936045	Canada												North America	
19	Philadelphia	12.0	13.3	Administrative boundary of a local government			0.0367294791	0.017698981699999998		364000000000.0	(39.952335, -75.163789)	City of Philadelphia	1560297.0	2014.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar	Bureau of Economic Analysis	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	367.0	In general the ICLEI protocol was followed, however in some cases data was not available in the same fashion or format as described in the protocol. Electricity, natural gas and steam usage was provided by the local utilities. Data related to onsite combustion of fuels was derived using the American Communities Surveys and allocated to Philadelphia based on population. Emissions from transportation was derived using the local regional planning commission's transportation model and EPA MOVES. EPA's non road emissions model was used for off road vehicles Industrial emissions were estimated by looking at EPAs GHG reporting project data and comparing it to previously known information from utilities. Waste data was modeled using MSW and private collection data along with local landfill and incinerator emissions based on total waste. This was counted as a scope 3 emissions because none of these facilities are within the City of Philadelphia	766200000000.0	See www.phila.gov/green for 2012 Citywide Inventory Report (published Spring 2015) which discusses in-depth trends for the City's carbon emissions.	2016.0	10839463.586058715	11231909.47033545	11624355.354612185	12397594.06	CDP	tCO2-eq	2012.0	6815276.0	17654739.586058713	18047185.47033545	18439631.354612187	19212870.06		2012.0		0.0356646952	USA												North America	1.0000000000000002
238	Phuket															Community																	480265.0	carbonn	tCO2-eq	2013.0								Municipality		Thailand			Phuket City Municipality	THB	250592.0	2014.0	7.88875	98.39779	8999.6577244651	72380.0	2015.0	Southeast Asia	
156	Piacenza	61.0	11.8	Administrative boundary of a local government			0.0151458624	0.011383130900000002			(45.0519969, 9.6926451)	Comune di Piacenza	102269.0	2014.0	D	Other	0.01	68000000.0				CO2			118.0	"The SEAP consists of two parts: 1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources. Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons. Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990. In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result. 2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB. 
The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020. E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place."	7800000000.0		2016.0					CDP	tCO2	1990.0					615452.0				0.0151130591	Italy												Europe	
48	Piedmont, CA	101.0	15.0	Other:			0.0367294791	0.017698981699999998		360400000000.0	(37.8244, -122.2316)	City of Piedmont, CA	11082.0	2013.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	San Francisco/Oakland/Hayward Metropolitan Area GDP: http://www.usmayors.org/metroeconomies/2013/201311-charts.pdf	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	4.3		766200000000.0	They have decreased due to a decrease in electricity and gas usage usage in the residential sector as well an increased renewable-generated portfolio of electricity sources, specifically hydropower.	2016.0	6809.387738220801	9596.7322563188	12384.076774416799	17876.0	CDP	tCO2-eq	2011.0	25566.0	32375.3877382208	35162.7322563188	37950.076774416804	43442.0		2013.0		0.0356646952	USA												North America	1.0
